domain,outcome,blockers,warnings,security_txt,security_txt_expires,security_txt_expired,days_left,files_present,security_txt_readable
flutter.dev,checked,0,3,no,,,,apple-app-site-association assetlinks.json,
kotlinlang.org,checked,0,2,no,,,,robots.txt llms.txt,
scala-lang.org,checked,0,2,no,,,,robots.txt,
ruby-lang.org,checked,0,2,no,,,,robots.txt llms.txt,
rubyonrails.org,checked,0,2,no,,,,robots.txt,
laravel.com,checked,0,2,no,,,,robots.txt,
symfony.com,checked,1,1,yes,yes,yes,-627,security.txt robots.txt,yes
djangoproject.com,checked,1,0,yes,yes,no,,security.txt robots.txt change-password,yes
flask.palletsprojects.com,checked,0,2,no,,,,robots.txt,
fastapi.tiangolo.com,checked,0,2,no,,,,robots.txt,
numpy.org,checked,0,2,no,,,,robots.txt,
pandas.pydata.org,checked,0,2,no,,,,robots.txt,
scipy.org,checked,0,3,no,,,,,
jupyter.org,checked,1,1,yes,no,no,,security.txt robots.txt,yes
scikit-learn.org,checked,0,3,no,,,,,
pytorch.org,checked,0,2,no,,,,robots.txt llms.txt,
tensorflow.org,checked,0,2,no,,,,robots.txt,
huggingface.co,checked,1,2,yes,yes,no,,security.txt robots.txt openid-configuration change-password,yes
apache.org,checked,0,1,yes,yes,no,,security.txt robots.txt,yes
mozilla.org,checked,2,1,yes,no,no,,security.txt robots.txt apple-app-site-association gpc.json,yes
gnome.org,checked,0,3,yes,yes,no,,security.txt,yes
kde.org,checked,0,2,yes,yes,no,,security.txt robots.txt,yes
debian.org,checked,0,2,yes,yes,no,,security.txt,yes
fedoraproject.org,checked,0,2,no,,,,robots.txt,
archlinux.org,checked,0,2,no,,,,robots.txt,
openssl.org,checked,1,3,yes,no,no,,security.txt robots.txt,yes
curl.se,checked,0,1,yes,yes,no,,security.txt robots.txt,yes
git-scm.com,checked,0,3,no,,,,,
gitlab.com,checked,1,0,yes,yes,no,,security.txt robots.txt openid-configuration change-password,yes
sourceforge.net,checked,2,2,yes,no,no,,security.txt robots.txt llms.txt,yes
freebsd.org,checked,0,2,no,,,,robots.txt,
postgresql.org,checked,0,2,no,,,,robots.txt,
mariadb.org,checked,1,2,yes,no,no,,security.txt robots.txt,yes
redis.io,checked,0,2,yes,yes,no,,security.txt robots.txt llms.txt,yes
mongodb.com,checked,6,2,no,,,,robots.txt llms.txt,
elastic.co,checked,0,2,no,,,,robots.txt,
nginx.org,checked,0,2,no,,,,robots.txt,
haproxy.org,checked,0,2,no,,,,robots.txt,
envoyproxy.io,checked,0,2,no,,,,robots.txt,
istio.io,checked,0,2,no,,,,robots.txt,
helm.sh,checked,0,2,yes,yes,no,,security.txt,yes
terraform.io,checked,7,3,no,,,,,
ansible.com,checked,8,3,yes,no,no,,security.txt,yes
docker.com,checked,1,1,yes,yes,no,,security.txt robots.txt change-password,yes
podman.io,checked,0,3,no,,,,,
containerd.io,checked,0,2,no,,,,robots.txt,
etcd.io,checked,0,2,yes,yes,no,,security.txt robots.txt,yes
openssf.org,checked,0,2,no,,,,robots.txt llms.txt,
linuxfoundation.org,checked,0,2,no,,,,robots.txt,
eclipse.org,checked,0,2,yes,yes,no,,security.txt robots.txt,yes
qt.io,checked,0,2,no,,,,robots.txt llms.txt,
wireshark.org,checked,0,2,yes,yes,no,,security.txt robots.txt,yes
videolan.org,checked,0,2,no,,,,robots.txt,
ffmpeg.org,checked,0,2,no,,,,robots.txt,
blender.org,checked,0,1,yes,yes,no,,security.txt robots.txt,yes
inkscape.org,checked,0,2,no,,,,robots.txt,
gimp.org,checked,0,2,no,,,,robots.txt,
libreoffice.org,checked,1,2,yes,no,no,,security.txt,yes
